CustomerID,Gender,Age,Tenure,ContractType,InternetService,MonthlyCharges,TotalCharges,PaymentMethod,TechSupport,StreamingTV,OnlineSecurity,PaperlessBilling,Churn,app_usage_frequency,last_login_days,last_recharge_days,avg_monthly_data_usage_gb,data_usage_trend,call_drop_rate,avg_network_quality_score,support_tickets_last_3m,last_support_sentiment,preferred_channel,secondary_channel,best_performing_channel,worst_performing_channel,sms_open_rate,email_open_rate,whatsapp_read_rate,channel_click_through_rate,avg_response_latency_hours,dnd_flag,email_clicks_last_30d,whatsapp_replies_last_30d,sms_ctr_last_30d,campaign_fatigue_score,last_campaign_response,geo_segment,income_proxy_segment,device_category,household_type
CUST01761,Female,27,36,Month-to-month,DSL,51.27,1809.74,Electronic check,Yes,No,Yes,Yes,1,high,49,70,10.63,stable,0.118,1.22,4,negative,email,whatsapp,whatsapp,email,0.22,0.44,0.86,0.15,64.02,1,8,4,0.09,0.81,converted,semi-urban,low,premium,shared
CUST02305,Male,35,48,Month-to-month,Fiber optic,68.56,3249.07,Bank transfer,Yes,No,No,Yes,0,high,3,3,16.21,decreasing,0.019,3.47,0,negative,call,whatsapp,sms,sms,0.87,0.2,0.46,0.27,66.97,0,19,5,0.17,0.26,clicked,semi-urban,middle,premium,shared
CUST03724,Female,61,67,Month-to-month,DSL,61.53,4123.06,Bank transfer,No,No,No,Yes,1,high,51,16,39.09,decreasing,0.123,1.17,3,neutral,sms,sms,email,email,0.24,0.29,0.73,0.05,7.64,1,4,2,0.17,0.91,converted,semi-urban,middle,budget,family
CUST08285,Female,73,34,One year,DSL,43.39,1434.59,Bank transfer,No,No,No,Yes,0,low,16,44,48.62,stable,0.034,4.54,2,neutral,email,email,sms,call,0.26,0.16,0.38,0.26,8.18,1,1,5,0.24,0.14,clicked,urban,middle,budget,shared
CUST04994,Male,27,62,One year,Fiber optic,57.93,3603.37,Credit card,No,Yes,No,Yes,0,medium,55,16,25.54,decreasing,0.113,3.84,3,neutral,sms,email,sms,whatsapp,0.79,0.16,0.48,0.04,8.75,1,11,1,0.1,0.68,converted,semi-urban,high,mid-range,shared
CUST08128,Female,74,55,Month-to-month,DSL,64.34,3477.3,Electronic check,No,Yes,Yes,No,0,medium,17,29,8.05,increasing,0.114,1.69,5,negative,call,call,sms,whatsapp,0.83,0.12,0.39,0.05,44.8,0,13,1,0.11,0.81,clicked,semi-urban,high,mid-range,single
CUST03033,Male,72,66,Month-to-month,Fiber optic,70.2,4571.41,Credit card,No,Yes,No,Yes,1,medium,26,59,1.68,decreasing,0.093,1.37,0,positive,whatsapp,sms,whatsapp,email,0.27,0.47,0.48,0.16,9.22,1,19,10,0.2,0.24,clicked,rural,middle,premium,single
CUST07939,Male,40,26,One year,No,42.54,1159.1,Credit card,No,No,No,No,0,low,39,13,12.25,stable,0.105,1.73,5,neutral,sms,email,sms,sms,0.48,0.45,0.74,0.03,61.45,1,17,1,0.13,0.28,ignored,rural,middle,mid-range,single
CUST03040,Male,38,9,Month-to-month,Fiber optic,71.79,740.09,Credit card,Yes,Yes,No,Yes,1,medium,7,60,7.46,decreasing,0.153,4.92,2,positive,sms,email,call,call,0.69,0.4,0.89,0.03,54.43,0,17,8,0.19,0.96,converted,rural,high,mid-range,family
CUST09656,Female,36,53,Month-to-month,Fiber optic,66.13,3563.91,Credit card,No,No,Yes,Yes,0,low,33,9,34.21,decreasing,0.16,2.83,4,negative,whatsapp,sms,email,call,0.8,0.28,0.43,0.01,59.12,0,12,11,0.12,0.26,clicked,urban,middle,premium,family
CUST02546,Male,33,60,Two year,DSL,53.26,3215.5,Mailed check,No,No,Yes,No,0,high,30,15,6.97,decreasing,0.098,4.14,2,neutral,whatsapp,sms,email,call,0.4,0.27,0.65,0.14,38.11,1,7,10,0.06,0.43,converted,rural,low,mid-range,single
CUST02593,Male,18,30,One year,No,26.79,841.58,Mailed check,No,No,No,No,0,high,47,52,25.81,decreasing,0.12,3.55,1,neutral,call,email,whatsapp,call,0.51,0.29,0.76,0.23,71.76,0,8,6,0.19,0.43,ignored,semi-urban,middle,mid-range,family
CUST01189,Male,44,49,Month-to-month,Fiber optic,69.0,3341.25,Electronic check,No,No,No,Yes,1,high,59,71,35.02,stable,0.186,3.29,4,neutral,email,sms,call,email,0.69,0.29,0.92,0.02,3.66,0,2,2,0.04,0.25,clicked,semi-urban,low,mid-range,single
CUST07967,Female,56,70,Two year,No,39.5,2801.8,Mailed check,Yes,No,No,No,0,high,39,15,29.47,increasing,0.024,1.58,4,neutral,call,sms,email,email,0.68,0.25,0.7,0.2,29.19,1,8,13,0.06,0.78,clicked,rural,low,mid-range,family
CUST06078,Female,55,46,Month-to-month,Fiber optic,65.63,2968.94,Mailed check,No,No,Yes,No,1,medium,24,26,10.79,stable,0.023,4.78,0,negative,email,email,sms,sms,0.73,0.11,0.47,0.25,23.66,0,7,12,0.16,0.77,converted,rural,middle,premium,family
CUST00108,Female,31,29,Month-to-month,Fiber optic,71.03,1975.44,Mailed check,No,No,No,Yes,0,high,24,83,40.4,increasing,0.018,2.21,4,neutral,call,sms,sms,call,0.56,0.11,0.71,0.06,68.33,0,0,9,0.19,0.38,clicked,urban,high,premium,family
CUST01316,Female,64,3,Month-to-month,DSL,49.96,95.72,Bank transfer,No,No,No,Yes,1,medium,25,89,36.05,decreasing,0.132,3.31,4,neutral,sms,whatsapp,call,whatsapp,0.18,0.48,0.51,0.05,41.75,0,4,1,0.22,0.84,converted,semi-urban,high,mid-range,family
CUST08188,Female,71,70,Month-to-month,DSL,20.0,1380.87,Electronic check,No,Yes,Yes,Yes,1,low,48,52,37.21,increasing,0.084,3.8,2,positive,sms,sms,sms,email,0.82,0.27,0.93,0.26,58.14,1,10,0,0.08,0.21,clicked,rural,low,mid-range,family
CUST02754,Female,32,28,Two year,Fiber optic,56.3,1619.83,Bank transfer,No,No,Yes,Yes,0,high,19,40,7.42,increasing,0.155,3.6,5,positive,sms,email,whatsapp,call,0.79,0.48,0.56,0.25,12.68,0,7,4,0.04,0.0,ignored,semi-urban,middle,mid-range,shared
CUST09754,Female,78,17,Month-to-month,Fiber optic,78.21,1293.33,Bank transfer,No,Yes,No,Yes,0,medium,10,31,7.06,increasing,0.134,4.76,3,neutral,email,email,email,whatsapp,0.74,0.12,0.75,0.17,70.47,1,19,2,0.24,0.57,converted,urban,low,budget,shared
CUST06232,Male,54,48,Month-to-month,DSL,48.04,2347.21,Mailed check,No,Yes,No,No,1,low,20,55,46.45,stable,0.067,1.59,2,negative,call,call,call,call,0.18,0.3,0.32,0.25,36.15,0,9,12,0.05,0.99,ignored,semi-urban,high,mid-range,shared
CUST02877,Female,68,34,Month-to-month,Fiber optic,47.87,1598.19,Bank transfer,No,No,Yes,Yes,1,medium,1,53,20.48,stable,0.18,3.03,0,negative,sms,whatsapp,sms,call,0.26,0.14,0.56,0.04,35.8,1,19,3,0.06,0.04,converted,rural,low,budget,family
CUST05324,Female,43,49,Month-to-month,DSL,41.92,2119.11,Electronic check,No,Yes,Yes,Yes,1,high,6,26,15.75,decreasing,0.153,2.62,4,neutral,email,call,call,sms,0.69,0.16,0.87,0.12,69.92,1,13,4,0.08,0.21,clicked,urban,high,budget,family
CUST00800,Male,65,49,Two year,Fiber optic,73.77,3702.0,Credit card,Yes,Yes,Yes,Yes,1,low,5,2,24.94,stable,0.054,2.9,1,neutral,sms,email,whatsapp,email,0.12,0.06,0.7,0.22,27.72,1,0,14,0.14,0.52,converted,rural,high,budget,single
CUST03571,Male,60,7,One year,Fiber optic,73.43,570.85,Mailed check,No,No,No,Yes,0,medium,46,13,33.48,increasing,0.073,1.48,4,neutral,call,email,email,whatsapp,0.88,0.1,0.59,0.08,28.92,1,4,12,0.22,0.81,converted,rural,high,mid-range,family
CUST02895,Male,63,71,Month-to-month,Fiber optic,96.3,6839.59,Mailed check,No,Yes,No,Yes,1,low,43,86,47.83,increasing,0.063,1.54,3,positive,whatsapp,email,sms,call,0.4,0.46,0.91,0.23,42.31,0,14,3,0.19,0.09,ignored,rural,low,budget,single
CUST02928,Female,54,16,Month-to-month,DSL,55.76,971.7,Electronic check,No,No,No,Yes,1,high,41,37,15.04,increasing,0.032,2.11,2,positive,call,call,call,sms,0.68,0.19,0.86,0.16,9.66,1,10,5,0.18,0.4,clicked,urban,high,mid-range,family
CUST08179,Male,61,21,Month-to-month,DSL,69.7,1422.96,Credit card,No,No,Yes,Yes,0,medium,27,43,46.32,stable,0.03,2.22,0,neutral,whatsapp,call,email,email,0.81,0.32,0.51,0.23,23.46,1,6,7,0.05,0.75,ignored,urban,high,mid-range,single
CUST00972,Male,73,64,Month-to-month,DSL,55.29,3479.53,Electronic check,Yes,Yes,No,Yes,1,low,43,42,2.22,decreasing,0.187,2.71,4,positive,whatsapp,call,email,whatsapp,0.42,0.26,0.65,0.14,14.31,1,10,9,0.1,0.37,ignored,semi-urban,middle,mid-range,family
CUST06688,Female,35,7,One year,DSL,60.65,429.24,Mailed check,No,Yes,No,No,1,low,9,70,28.2,stable,0.088,3.44,0,positive,call,call,email,call,0.36,0.23,0.62,0.12,7.88,1,18,14,0.12,0.19,ignored,semi-urban,high,premium,shared
CUST08576,Female,38,52,Two year,Fiber optic,66.48,3490.77,Bank transfer,No,No,Yes,Yes,1,medium,54,5,32.06,decreasing,0.077,3.54,2,positive,sms,whatsapp,sms,sms,0.59,0.29,0.71,0.07,62.43,1,7,13,0.05,0.2,clicked,semi-urban,high,mid-range,shared
CUST02021,Male,52,31,Month-to-month,Fiber optic,73.81,2233.11,Mailed check,No,No,Yes,No,1,high,30,7,6.19,increasing,0.146,2.65,5,positive,call,whatsapp,email,whatsapp,0.56,0.13,0.52,0.07,42.64,0,0,14,0.08,0.41,ignored,rural,low,premium,family
CUST09055,Male,39,28,Month-to-month,Fiber optic,80.17,2185.52,Bank transfer,No,Yes,Yes,Yes,1,high,56,24,7.88,increasing,0.111,2.64,5,neutral,whatsapp,call,sms,email,0.43,0.49,0.46,0.23,26.15,0,6,0,0.08,0.48,clicked,rural,high,premium,single
CUST00953,Male,29,20,Month-to-month,DSL,52.79,1042.88,Electronic check,Yes,No,Yes,Yes,0,medium,9,43,21.54,decreasing,0.187,1.87,5,negative,whatsapp,email,sms,sms,0.58,0.42,0.89,0.04,29.72,0,18,3,0.04,0.86,clicked,urban,high,budget,single
CUST05360,Male,65,8,Month-to-month,DSL,61.14,446.76,Bank transfer,Yes,No,No,No,1,low,29,60,48.35,increasing,0.156,3.35,5,negative,email,email,email,whatsapp,0.85,0.38,0.9,0.03,31.35,0,15,8,0.14,0.64,clicked,rural,low,budget,single
CUST03858,Male,78,29,Month-to-month,DSL,42.2,1197.5,Bank transfer,Yes,No,No,No,1,high,41,44,30.21,increasing,0.096,2.27,3,neutral,call,call,sms,email,0.47,0.26,0.85,0.06,45.77,1,16,0,0.18,0.69,clicked,urban,low,mid-range,shared
CUST05862,Female,59,40,Month-to-month,Fiber optic,74.04,2925.72,Electronic check,No,No,Yes,Yes,1,medium,29,39,46.72,stable,0.075,1.14,1,neutral,email,email,email,whatsapp,0.26,0.12,0.94,0.06,66.76,1,18,5,0.03,0.98,clicked,semi-urban,high,premium,shared
CUST03146,Female,23,18,Month-to-month,Fiber optic,68.74,1175.07,Bank transfer,Yes,Yes,No,Yes,1,high,26,84,40.41,decreasing,0.197,2.67,5,positive,sms,sms,call,email,0.4,0.46,0.78,0.25,67.19,0,2,2,0.13,0.41,converted,urban,low,budget,family
CUST03306,Male,26,35,One year,Fiber optic,77.72,2674.5,Bank transfer,No,No,Yes,Yes,0,low,9,14,23.9,decreasing,0.144,2.9,4,positive,call,whatsapp,sms,call,0.42,0.2,0.8,0.13,28.49,0,5,13,0.2,0.4,clicked,semi-urban,middle,budget,single
CUST03007,Female,50,5,Month-to-month,DSL,66.65,403.71,Mailed check,No,Yes,No,No,1,low,22,51,39.45,increasing,0.19,1.9,5,neutral,sms,email,sms,sms,0.2,0.07,0.8,0.3,24.04,1,1,0,0.19,0.92,clicked,rural,high,premium,single
CUST09002,Female,27,55,Two year,Fiber optic,79.22,4412.35,Credit card,No,Yes,No,No,0,high,14,48,1.87,decreasing,0.024,3.29,3,neutral,sms,call,sms,call,0.23,0.2,0.61,0.05,32.75,1,0,2,0.21,0.25,converted,semi-urban,middle,premium,shared
CUST07771,Female,73,6,Month-to-month,DSL,59.78,379.2,Credit card,No,No,No,Yes,1,high,18,42,6.35,decreasing,0.17,3.26,0,positive,whatsapp,call,whatsapp,sms,0.65,0.41,0.6,0.2,41.11,1,16,2,0.12,0.73,clicked,rural,high,budget,single
CUST07439,Male,47,14,Month-to-month,Fiber optic,56.48,879.76,Bank transfer,No,Yes,No,Yes,0,medium,41,72,41.64,decreasing,0.127,3.81,3,neutral,sms,email,email,whatsapp,0.37,0.33,0.46,0.14,33.52,1,18,2,0.21,0.75,converted,urban,low,mid-range,single
CUST07943,Female,73,70,One year,Fiber optic,67.29,4713.39,Credit card,Yes,Yes,No,Yes,0,high,37,24,40.04,decreasing,0.024,3.59,2,positive,call,whatsapp,email,email,0.86,0.39,0.72,0.12,47.6,1,3,8,0.07,0.1,ignored,semi-urban,low,mid-range,single
CUST09239,Male,28,35,Two year,No,39.86,1391.7,Mailed check,No,No,No,Yes,0,high,36,85,12.4,increasing,0.118,3.61,5,positive,email,call,sms,email,0.29,0.41,0.49,0.26,40.14,1,14,5,0.1,0.47,clicked,semi-urban,high,budget,single
CUST01057,Female,70,66,Month-to-month,No,25.2,1617.5,Mailed check,Yes,No,No,Yes,1,medium,21,29,27.01,decreasing,0.137,2.26,2,negative,sms,whatsapp,email,sms,0.18,0.15,0.47,0.29,23.43,0,10,13,0.05,0.2,converted,rural,middle,budget,family
CUST03155,Male,29,61,Month-to-month,Fiber optic,92.86,5704.73,Bank transfer,No,No,No,Yes,1,high,57,49,30.69,increasing,0.002,4.15,1,neutral,call,sms,email,whatsapp,0.7,0.47,0.68,0.26,25.22,1,1,3,0.12,0.19,ignored,rural,low,mid-range,shared
CUST03788,Male,19,71,Month-to-month,DSL,62.02,4423.8,Credit card,No,Yes,No,Yes,0,low,5,46,43.52,decreasing,0.091,3.2,0,neutral,whatsapp,whatsapp,email,sms,0.8,0.25,0.57,0.07,27.57,0,18,8,0.1,0.46,clicked,semi-urban,low,mid-range,single
CUST09190,Male,26,19,Month-to-month,Fiber optic,90.28,1733.62,Mailed check,Yes,Yes,No,No,1,low,20,76,30.55,stable,0.165,2.73,5,negative,email,whatsapp,whatsapp,whatsapp,0.32,0.34,0.44,0.07,7.27,0,17,9,0.07,0.29,ignored,urban,middle,budget,shared
CUST07826,Male,30,58,One year,No,43.57,2536.65,Credit card,No,Yes,Yes,No,0,high,7,39,21.22,decreasing,0.059,3.5,4,negative,whatsapp,whatsapp,call,whatsapp,0.26,0.05,0.83,0.2,12.37,0,11,9,0.19,0.8,clicked,semi-urban,middle,mid-range,single
CUST07540,Female,51,27,Month-to-month,Fiber optic,56.56,1586.76,Electronic check,Yes,No,No,No,1,medium,20,25,19.34,stable,0.092,2.44,0,negative,whatsapp,sms,email,call,0.25,0.5,0.86,0.09,52.2,0,14,11,0.09,0.91,converted,urban,low,budget,single
CUST07232,Female,77,59,Month-to-month,Fiber optic,64.53,3912.4,Mailed check,No,No,No,No,1,low,57,1,21.87,stable,0.088,3.05,2,neutral,sms,email,call,whatsapp,0.52,0.18,0.41,0.22,28.32,0,7,3,0.08,0.8,clicked,semi-urban,middle,premium,single
